sessionId,customer_id,date,time,serviceType,durationMinutes,rate_per_hour,base_fee,membershipType,discount_rate,finalFee,paymentMethod,pagesPrinted,computer_number,time_of_day,sessionStatus
SES-0001,CUST-015,1/7/2024,15:15,Browsing,86,,21.5,Student,,20.43,Cash,0,19,Afternoon,COMPLETED
SES-0002,CUST-055,1/9/2024,7:05,BROWSING,,15,33.5,Student,0.05,31.82,Cash,,18,Morning,Completed
SES-0003,CUST-054,2/26/2024,21:37,printing,18,10,3,Student,0.05,2.85,nan,,,Evening,
SES-0004,CUST-020,2/25/2024,17:06,Gaming,209,,87.08,Regular,0,87.08,Maya,0,,Evening,completed
SES-0005,CUST-034,1/12/2024,,Gaming,208,25,,Regular,0,86.67,Maya,0,19,Evening,COMPLETED
SES-0006,CUST-025,6/29/2024,9:02,Online Class,131,15,32.75,Member,0.1,29.48,,0,,,Completed
SES-0007,CUST-049,3/12/2024,21:40,DOWNLOADING,201,,67,Regular,0,67,,0,,Evening,COMPLETED
SES-0008,CUST-035,6/28/2024,,online class,102,15,25.5,Student,,24.22,GCash,0,15,Morning,
SES-0009,CUST-049,3/10/2024,,printing,43,10,7.17,Regular,0,7.17,Maya,8,9,Afternoon,incomplete
SES-0010,CUST-009,2/24/2024,17:13,Online Class,,,,Member,0.1,60.75,Credit Card,0,9,Evening,COMPLETED
SES-0011,CUST-018,3/4/2024,15:47,Video Streaming,234,20,78,,,74.1,,0,8,Afternoon,
SES-0012,CUST-018,5/10/2024,22:05,Downloading,,20,13,Regular,0,13,GCash,,14,Evening,completed
SES-0013,CUST-077,1/17/2024,19:24,Video Streaming,254,20,84.67,Student,,,Maya,,4,,completed
SES-0014,CUST-069,3/9/2024,17:07,Printing,237,10,,Member,0.1,35.55,Cash,6,,Evening,Completed
SES-0015,CUST-023,5/9/2024,,online class,167,15,41.75,Student,0.05,39.66,nan,0,12,Morning,completed
SES-0016,CUST-021,5/18/2024,7:38,Printing,265,10,44.17,Regular,0,44.17,,1,8,Morning,completed
SES-0017,CUST-008,3/2/2024,9:05,ONLINE CLASS,,15,,Regular,0,65.75,GCash,0,16,Morning,completed
